timestamp,location_id,predicted_fare
2024-02-01 07:38:00,2,378.8226057291031
2024-02-01 07:42:00,2,422.83302557468414
2024-02-01 07:46:00,2,244.52731662988666
2024-02-01 07:51:00,2,402.36129903793335
2024-02-01 08:08:00,2,424.92111164331436
2024-02-01 08:17:00,2,432.6988832950592
2024-02-01 08:19:00,2,229.91954460740092
2024-02-01 08:20:00,2,185.72904686629775
2024-02-01 08:24:00,2,391.89617669582367
2024-02-01 08:28:00,2,265.13171845674515
2024-02-01 08:31:00,2,205.9096023142338
2024-02-01 08:33:00,2,236.5450507104397
2024-02-01 08:40:00,2,404.0612818002701
2024-02-01 08:46:00,2,426.37115812301636
2024-02-01 08:48:00,2,259.8451240360737
2024-02-01 08:49:00,2,270.0243850052357
2024-02-01 08:52:00,2,389.51409566402435
2024-02-01 08:54:00,2,238.5472140312195
2024-02-01 08:58:00,2,426.70563381910324
2024-02-01 09:02:00,2,340.3660550713539
2024-02-01 09:04:00,2,386.88796532154083
2024-02-01 09:07:00,2,199.8218544572592
2024-02-01 09:09:00,2,380.9812522530556
2024-02-01 09:14:00,2,185.49790260940793
